Column heading,Explanation
α-opic elr_M-cone_[mW.lm-1]_low_CIE,α-opic efficacy of luminous radiation - M-cone-opic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic elr_S-cone_[mW.lm-1]_low_CIE,α-opic efficacy of luminous radiation - S-cone-opic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic elr_Rhodopic_[mW.lm-1]_low_CIE,α-opic efficacy of luminous radiation - Rhodopic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic elr_Melanopic_[mW.lm-1]_low_CIE,α-opic efficacy of luminous radiation - Melanopic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic edi_L-cone_[lx]_prof_LuxPy,α-opic equivalent daylight (D65) illuminance - L-cone-opic calculated using LuxPy and spectrum of the PRx-sp
α-opic edi_M-cone_[lx]_prof_LuxPy,α-opic equivalent daylight (D65) illuminance - M-cone-opic calculated using LuxPy and spectrum of the PRx-sp
α-opic edi_S-cone_[lx]_prof_LuxPy,α-opic equivalent daylight (D65) illuminance - S-cone-opic calculated using LuxPy and spectrum of the PRx-sp
α-opic edi_Rhodopic_[lx]_prof_LuxPy,α-opic equivalent daylight (D65) illuminance - Rhodopic calculated using LuxPy and spectrum of the PRx-sp
α-opic edi_Melanopic_[lx]_prof_LuxPy,α-opic equivalent daylight (D65) illuminance - Melanopic calculated using LuxPy and spectrum of the PRx-sp
α-opic edi_L-cone_[lx]_prof_CIE,α-opic equivalent daylight (D65) illuminance - L-cone-opic calculated using CIE S 026 Toolbox and spectrum of the PRx-sp
α-opic edi_M-cone_[lx]_prof_CIE,α-opic equivalent daylight (D65) illuminance - M-cone-opic calculated using CIE S 026 Toolbox and spectrum of the PRx-sp
α-opic edi_S-cone_[lx]_prof_CIE,α-opic equivalent daylight (D65) illuminance - S-cone-opic calculated using CIE S 026 Toolbox and spectrum of the PRx-sp
α-opic edi_Rhodopic_[lx]_prof_CIE,α-opic equivalent daylight (D65) illuminance - Rhodopic calculated using CIE S 026 Toolbox and spectrum of the PRx-sp
α-opic edi_Melanopic_[lx]_prof_CIE,α-opic equivalent daylight (D65) illuminance - Melanopic calculated using CIE S 026 Toolbox and spectrum of the PRx-sp
α-opic edi_L-cone_[lx]_low_LuxPy,α-opic equivalent daylight (D65) illuminance - L-cone-opic calculated using LuxPy and spectrum of the LC1-sp
α-opic edi_M-cone_[lx]_low_LuxPy,α-opic equivalent daylight (D65) illuminance - M-cone-opic calculated using LuxPy and spectrum of the LC1-sp
α-opic edi_S-cone_[lx]_low_LuxPy,α-opic equivalent daylight (D65) illuminance - S-cone-opic calculated using LuxPy and spectrum of the LC1-sp
α-opic edi_Rhodopic_[lx]_low_LuxPy,α-opic equivalent daylight (D65) illuminance - Rhodopic calculated using LuxPy and spectrum of the LC1-sp
α-opic edi_Melanopic_[lx]_low_LuxPy,α-opic equivalent daylight (D65) illuminance - Melanopic calculated using LuxPy and spectrum of the LC1-sp
α-opic edi_L-cone_[lx]_low_CIE,α-opic equivalent daylight (D65) illuminance - L-cone-opic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic edi_M-cone_[lx]_low_CIE,α-opic equivalent daylight (D65) illuminance - M-cone-opic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic edi_S-cone_[lx]_low_CIE,α-opic equivalent daylight (D65) illuminance - S-cone-opic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic edi_Rhodopic_[lx]_low_CIE,α-opic equivalent daylight (D65) illuminance - Rhodopic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
α-opic edi_Melanopic_[lx]_low_CIE,α-opic equivalent daylight (D65) illuminance - Melanopic calculated using CIE S 026 Toolbox and spectrum of the LC1-sp
