Wavelength_nm,ZEB_lab_L_WL_100_C,ZEB_lab_L_NL_100_C,ZEB_lab_L_CL_100_C,ZEB_lab_H_WL_100_S,ZEB_lab_L_CL_100_S,ZEB_lab_F_WL_100_S,ZEB_lab_I_WL_100_S,ZEB_lab_D_CL_100_W
380,,,,,,,,
385,,,,,,,,
390,3.35623E-05,0.000206176,0.000334205,0.000138012,7.40944E-05,6.90048E-05,0.000243959,5.56695E-05
395,0.000190347,0.000261769,0.000431566,0.0001511,9.87267E-05,0.000106155,0.00027621,0.000107159
400,0.000322369,0.000321264,0.000540378,0.000163167,0.000132031,0.000141332,0.000313973,0.000182124
405,0.000397387,0.00037466,0.000649489,0.000167318,0.000181592,0.000165793,0.000335235,0.000272372
410,0.000455264,0.000458327,0.000793694,0.000164868,0.000270161,0.000170264,0.000341465,0.000362844
415,0.000589339,0.000659569,0.001123654,0.000166051,0.000407427,0.000179125,0.000350883,0.000446381
420,0.000849498,0.001041191,0.001754992,0.000178773,0.000601836,0.000223844,0.000377429,0.000517449
425,0.001299203,0.00168825,0.002899884,0.000208991,0.000828427,0.000314134,0.000427064,0.000586591
430,0.001891825,0.002536119,0.00449373,0.000247456,0.001058419,0.000421368,0.000484636,0.000640616
435,0.002564322,0.003549486,0.006510312,0.000281177,0.001243003,0.000482835,0.000533469,0.000690905
440,0.003165929,0.004584891,0.008661755,0.000301609,0.001341359,0.000454507,0.000573752,0.000733455
445,0.003538641,0.005436814,0.010494549,0.000310944,0.001330279,0.000354349,0.000608791,0.000777395
450,0.00356763,0.005870379,0.011491857,0.000318133,0.00122015,0.000232736,0.00064077,0.000822508
455,0.003257374,0.005742885,0.011339203,0.000328508,0.001060448,0.000139675,0.000667234,0.000862077
460,0.002737439,0.005120283,0.010162393,0.000352284,0.000898923,9.44404E-05,0.00070675,0.000900427
465,0.002165623,0.004224424,0.00837992,0.000384518,0.000774505,8.95949E-05,0.000767029,0.000921981
470,0.001689532,0.003326692,0.006557674,0.00042194,0.000697831,0.000112721,0.000842874,0.000939048
475,0.001350137,0.002582897,0.005016176,0.000458319,0.000664645,0.000170942,0.00091884,0.000944486
480,0.001162026,0.002067102,0.00390717,0.000489741,0.000668368,0.000244193,0.00098184,0.000940081
485,0.001160435,0.00179525,0.003262376,0.000515875,0.00069409,0.000309979,0.001027906,0.000925896
490,0.001313325,0.001731359,0.002990254,0.000536582,0.000738252,0.000339813,0.001063078,0.000909129
495,0.001644917,0.001905047,0.003139567,0.000553378,0.0007977,0.00032021,0.001089431,0.00090915
500,0.002115571,0.002281077,0.003638525,0.000573007,0.000866683,0.000264874,0.001122933,0.000929421
505,0.002683682,0.002807574,0.004401977,0.000599285,0.000936822,0.000199475,0.001170658,0.000961271
510,0.003326057,0.003419762,0.005303768,0.000633237,0.000997011,0.000153289,0.001233396,0.000994189
515,0.003998362,0.004033403,0.006187686,0.000670065,0.001046787,0.000134142,0.001305632,0.001014829
520,0.004677574,0.004602591,0.006965002,0.000708877,0.00108418,0.000175094,0.001387875,0.001026572
525,0.005296791,0.005085723,0.007577148,0.000743979,0.001111725,0.000313379,0.001468381,0.001033264
530,0.005828903,0.005473448,0.008033122,0.000773524,0.001127179,0.000583588,0.001535672,0.001042053
535,0.006244234,0.005740597,0.00830093,0.000799964,0.001135058,0.000954186,0.001588925,0.001038962
540,0.006591128,0.005926823,0.008427331,0.000828802,0.00114212,0.001307651,0.001640689,0.00102781
545,0.006925947,0.006068422,0.008468506,0.000866624,0.001150896,0.001482542,0.001709818,0.001014225
550,0.007272934,0.006184525,0.008446611,0.000913696,0.001156268,0.001383796,0.001804448,0.000997794
555,0.007627256,0.006287976,0.008390611,0.000961762,0.001155372,0.001076829,0.00190277,0.000981243
560,0.007968643,0.006371148,0.008286518,0.001003766,0.001145123,0.00073022,0.001985504,0.000965415
565,0.008273553,0.00643583,0.00813435,0.001033463,0.00112631,0.000489156,0.002043026,0.000949785
570,0.008567141,0.006487433,0.007940731,0.001057222,0.001099919,0.000411529,0.0020926,0.000937744
575,0.008845002,0.006505453,0.007699758,0.001084431,0.001067966,0.000459734,0.002154981,0.000921533
580,0.009094659,0.00646816,0.007398352,0.00111905,0.00103135,0.000563583,0.002233775,0.000896638
585,0.009276465,0.006375466,0.007050057,0.001154859,0.000994882,0.000687657,0.002304574,0.000868884
590,0.009400172,0.006262355,0.006698142,0.001185492,0.000962133,0.000820019,0.002358293,0.000854083
595,0.009477547,0.006173395,0.006397384,0.001210678,0.000935229,0.001015614,0.002402133,0.000857405
600,0.009493532,0.006103048,0.006141937,0.001235404,0.000914664,0.00131957,0.002448618,0.000864103
605,0.009434729,0.006021616,0.005912179,0.00126662,0.000889508,0.001687977,0.002506671,0.000862368
610,0.009262985,0.005871313,0.005634178,0.001302824,0.000851688,0.001969108,0.002569138,0.000851798
615,0.008975611,0.005636239,0.005300596,0.001333557,0.000797126,0.001998506,0.002622218,0.000842619
620,0.008578623,0.005312619,0.004910778,0.001355638,0.000732236,0.00174521,0.002667441,0.000837681
625,0.008106737,0.004929832,0.004492312,0.001373996,0.000663184,0.001330949,0.002715007,0.000836279
630,0.007544735,0.004507116,0.004053764,0.001396068,0.000596209,0.000903935,0.002768265,0.000827594
635,0.006859185,0.004043453,0.003585644,0.001433317,0.000533917,0.000557265,0.002836215,0.000801955
640,0.006119721,0.003589183,0.003141287,0.001480634,0.000477036,0.000310068,0.002915463,0.000763311
645,0.005426138,0.003186327,0.00274327,0.001535008,0.000423751,0.000166376,0.003010249,0.000720755
650,0.004861607,0.002870647,0.002427434,0.00157926,0.000375473,0.000105485,0.003098597,0.000688428
655,0.004446832,0.002629668,0.002188465,0.001612522,0.000340194,9.0915E-05,0.003175579,0.00066763
660,0.004130735,0.002427621,0.002019193,0.001642255,0.000318072,9.81144E-05,0.003240648,0.000645554
665,0.00381364,0.002216924,0.001889274,0.0016778,0.000301423,0.000107065,0.003306706,0.000619472
670,0.003445191,0.00198867,0.00176284,0.001720718,0.000275571,0.000113684,0.003382154,0.000593313
675,0.003044891,0.001765391,0.001605636,0.001754721,0.000237756,0.000118728,0.003452562,0.000581101
680,0.002652327,0.001562418,0.001404778,0.001771722,0.000197129,0.000119819,0.003507749,0.000571575
685,0.002276534,0.001364528,0.001174434,0.001779243,0.000166943,0.000124288,0.003550596,0.000544831
690,0.001927007,0.001169139,0.000968698,0.001791799,0.000148992,0.000138924,0.003593825,0.00049945
695,0.001619165,0.000978998,0.000813815,0.001825037,0.000134604,0.000165588,0.003658318,0.000453038
700,0.001390766,0.000822291,0.000720945,0.001872289,0.000117266,0.000200894,0.003736835,0.000432661
705,0.001239983,0.000725028,0.000671181,0.001917378,9.39586E-05,0.000230199,0.003810913,0.000435415
710,0.00113367,0.000694522,0.0006458,0.001935266,6.60979E-05,0.000232866,0.003844465,0.000436034
715,0.001034315,0.000705111,0.000631417,0.00191331,3.5844E-05,0.00019789,0.00381853,0.000416956
720,0.000956264,0.000711932,0.000626077,0.001866732,1.20246E-05,0.000137722,0.003756289,0.000413726
725,0.000917653,0.000690389,0.000627367,0.001838892,5.31E-07,8.17068E-05,0.003730002,0.000435729
730,0.000885089,0.000606867,0.000594038,0.001862436,1.54813E-05,4.50903E-05,0.00378493,0.000451007
735,0.000788416,0.000455384,0.000489873,0.001967703,4.23265E-05,3.87007E-05,0.003971948,0.000384636
740,0.000618793,0.000288726,0.000338225,0.002092733,6.16559E-05,4.31428E-05,0.004189808,0.000259489
745,0.000421011,0.000156132,0.000177338,0.002181746,5.52828E-05,4.80851E-05,0.004345436,0.000136672
750,0.000277705,0.000115831,8.1419E-05,0.002167789,1.69268E-05,3.92636E-05,0.004325272,0.000114928
755,0.000274407,0.000176277,0.000120166,0.002044574,0,2.24934E-05,0.004132549,0.000220414
760,0.000226812,0.000188707,0.00012464,0.001954837,,1.2453E-05,0.003976034,0.00028607
775,,,,,,,,
770,,,,,,,,
775,,,,,,,,
